"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
6.337436581E1,6.501607638E1,2.551758993E1,2.054951820E1,1.147886381E0,3.017304620E2,3.104822782E0,3.942788979E0
6.437433636E1,6.501607936E1,2.551756964E1,2.064220519E1,1.012919656E0,3.007603632E2,3.091599344E0,3.866600557E0
6.537430716E1,6.501608166E1,2.551754386E1,2.101580658E1,1.039585623E0,2.973289216E2,3.123610125E0,3.922175057E0
6.637427914E1,6.501608854E1,2.551751884E1,2.116755663E1,1.017909899E0,3.014759216E2,3.163318982E0,4.018024282E0
6.737425160E1,6.501608990E1,2.551749159E1,2.098890506E1,1.030337773E0,2.939074880E2,3.215302535E0,4.035645606E0
6.837422395E1,6.501609211E1,2.551746840E1,2.067812697E1,1.125408241E0,2.936169142E2,3.170388583E0,3.889711070E0
6.937419832E1,6.501609682E1,2.551745345E1,2.041199311E1,1.014668439E0,3.027107174E2,3.159884461E0,3.841043079E0
7.037417185E1,6.501609783E1,2.551742920E1,2.006195077E1,1.082582838E0,2.969988762E2,3.108375896E0,3.759568295E0
7.137414634E1,6.501609739E1,2.551740333E1,2.000193239E1,1.114129754E0,2.879642251E2,3.066484575E0,3.651042439E0
7.237412131E1,6.501609436E1,2.551738294E1,1.954517413E1,1.021795927E0,2.778782183E2,3.030591882E0,3.530582207E0
7.337409568E1,6.501608974E1,2.551736607E1,1.931179586E1,8.859594502E-1,2.646078395E2,3.011758285E0,3.572471855E0
7.437407136E1,6.501608035E1,2.551735823E1,1.881085718E1,7.799293052E-1,2.387965991E2,3.002467317E0,3.650363818E0
7.537404692E1,6.501606764E1,2.551733953E1,1.972274951E1,1.111109722E0,2.279703244E2,2.968447825E0,3.525494852E0
7.637402356E1,6.501605968E1,2.551733148E1,1.967004150E1,9.775584623E-1,2.223919427E2,2.949472370E0,3.455870492E0
7.737400043E1,6.501605291E1,2.551732029E1,1.933649525E1,9.269209388E-1,2.215658116E2,2.930840685E0,3.458687051E0
7.837397695E1,6.501604056E1,2.551730400E1,1.938531192E1,1.119398634E0,2.147705617E2,2.911276070E0,3.488823032E0
7.937395477E1,6.501602724E1,2.551729086E1,1.951875823E1,1.220305673E0,2.093334092E2,2.955130125E0,3.535754356E0
8.037393105E1,6.501601528E1,2.551727604E1,1.980451385E1,1.237859162E0,2.090804438E2,2.955067677E0,3.495492022E0
8.137390983E1,6.501600461E1,2.551726519E1,1.986452956E1,1.243150728E0,2.061184214E2,2.918841271E0,3.388843793E0
8.237388730E1,6.501599609E1,2.551725551E1,1.970659234E1,1.123725350E0,2.062912268E2,2.895303008E0,3.354403021E0
8.337386441E1,6.501598738E1,2.551724647E1,2.009011599E1,1.051175163E0,2.069396717E2,2.896389453E0,3.260932062E0
8.437384343E1,6.501597856E1,2.551723844E1,2.009077498E1,9.922397729E-1,2.078634983E2,2.897246888E0,3.285386320E0
8.537382114E1,6.501596881E1,2.551723390E1,1.978213940E1,9.413495446E-1,2.020925662E2,2.919964792E0,3.224524630E0
8.637380052E1,6.501596083E1,2.551722227E1,1.976688450E1,9.581653270E-1,2.052833122E2,2.941337858E0,3.327646492E0
8.737377882E1,6.501594975E1,2.551721088E1,1.974995174E1,1.125275936E0,2.034579204E2,2.899719740E0,3.299737707E0
8.837375760E1,6.501594241E1,2.551720498E1,1.961999346E1,9.634138977E-1,2.008080902E2,2.923374763E0,3.311371877E0
8.937373662E1,6.501593567E1,2.551719796E1,2.001153490E1,8.827714911E-1,1.986959402E2,2.885315244E0,3.289257742E0
9.037371624E1,6.501592865E1,2.551719189E1,2.012070048E1,8.959903841E-1,1.973601013E2,2.876337879E0,3.227210147E0
9.137369561E1,6.501592057E1,2.551718391E1,1.976280926E1,9.819114057E-1,1.973672857E2,2.870278165E0,3.247591622E0
9.237367499E1,6.501591185E1,2.551717127E1,1.994774787E1,1.060356062E0,2.014551116E2,2.950264149E0,3.395107607E0
9.337365401E1,6.501590145E1,2.551716145E1,1.955276618E1,1.143756273E0,2.008211145E2,2.948543064E0,3.363412161E0
9.437363327E1,6.501589166E1,2.551715245E1,1.951807985E1,1.110929535E0,2.005375266E2,2.945399063E0,3.338962902E0
9.537361324E1,6.501588299E1,2.551714664E1,1.928432491E1,9.738866180E-1,2.008051833E2,2.928567238E0,3.292073413E0
9.637359285E1,6.501587435E1,2.551714212E1,1.937276127E1,8.898103648E-1,2.000242828E2,2.928646228E0,3.289157465E0
9.737357283E1,6.501586378E1,2.551713468E1,1.935215764E1,1.013448876E0,2.011372380E2,2.897184243E0,3.293114879E0
9.837355280E1,6.501585271E1,2.551712636E1,1.935739780E1,1.147734485E0,1.999670365E2,2.888884388E0,3.361074062E0
9.937353277E1,6.501584088E1,2.551712221E1,1.954827780E1,1.229347757E0,1.968636058E2,2.849293540E0,3.275937054E0
1.003735135E2,6.501583242E1,2.551711770E1,1.953209847E1,1.115596243E0,1.967855865E2,2.857802508E0,3.179398146E0
1.013734936E2,6.501582341E1,2.551711090E1,1.922366505E1,1.069485144E0,1.988217989E2,2.866736507E0,3.139028767E0
1.023734739E2,6.501581312E1,2.551710798E1,1.918815905E1,1.079294305E0,1.971838648E2,2.923297715E0,3.160744583E0
1.033734541E2,6.501580021E1,2.551710454E1,1.898608962E1,1.214119443E0,1.942981144E2,2.949615742E0,3.213822565E0
1.043734347E2,6.501579100E1,2.551710684E1,1.890004947E1,1.058623768E0,1.895768758E2,2.965462747E0,3.181316436E0
1.053734146E2,6.501578262E1,2.551710777E1,1.900797388E1,9.467518629E-1,1.863803180E2,2.962434442E0,3.193914912E0
1.063733951E2,6.501576859E1,2.551711437E1,1.946983589E1,1.177208169E0,1.810998936E2,3.045302327E0,3.338156486E0
1.073733753E2,6.501576002E1,2.551711812E1,1.925706302E1,9.284423008E-1,1.792279818E2,3.077735057E0,3.450305200E0
1.083733561E2,6.501574775E1,2.551712240E1,1.906188477E1,1.092363337E0,1.785347152E2,3.042654592E0,3.380462676E0
1.093733371E2,6.501573723E1,2.551712348E1,1.906024924E1,1.060161389E0,1.807853944E2,3.061203713E0,3.345105121E0
1.103733178E2,6.501572672E1,2.551712255E1,1.881956407E1,1.119696779E0,1.824057402E2,3.040201464E0,3.321465858E0
1.113732983E2,6.501571545E1,2.551713096E1,1.921414154E1,1.156663127E0,1.758340136E2,3.037002981E0,3.310721093E0
1.123732787E2,6.501570465E1,2.551713607E1,1.939885588E1,1.166958884E0,1.749318848E2,2.985152835E0,3.286170614E0
1.133732594E2,6.501569403E1,2.551713790E1,1.908022691E1,1.156574474E0,1.768121307E2,2.962668318E0,3.216523689E0
1.143732409E2,6.501568420E1,2.551713708E1,1.920277077E1,1.141742992E0,1.786151256E2,2.944576793E0,3.256868945E0
1.153732208E2,6.501567354E1,2.551713789E1,1.917376603E1,1.171886994E0,1.779049577E2,2.901200309E0,3.218771272E0
1.163732016E2,6.501566421E1,2.551714791E1,1.932723845E1,1.077588248E0,1.688036993E2,2.858927649E0,3.213691623E0
1.173731823E2,6.501565656E1,2.551716402E1,1.926780094E1,1.002664866E0,1.572260578E2,2.866033061E0,3.162709127E0
1.183731636E2,6.501565202E1,2.551717700E1,1.909314995E1,8.476906512E-1,1.442897952E2,2.880798871E0,3.247277082E0
1.193731444E2,6.501565599E1,2.551718882E1,1.886107921E1,5.930955800E-1,1.118678662E2,2.903935604E0,3.278517488E0
1.203731253E2,6.501565960E1,2.551722069E1,1.920079495E1,9.901824991E-1,9.260274062E1,2.924306018E0,3.355733915E0
1.213731060E2,6.501566458E1,2.551724280E1,1.913822219E1,1.088066894E0,8.222380305E1,2.880036711E0,3.363487021E0
1.223730870E2,6.501566813E1,2.551727081E1,1.913128714E1,1.261434520E0,7.992402253E1,2.893047038E0,3.420483009E0
1.233730682E2,6.501566879E1,2.551729465E1,1.906031845E1,1.218106930E0,8.352893561E1,2.877299167E0,3.548117653E0
1.243730491E2,6.501566541E1,2.551731520E1,1.892720639E1,1.117694620E0,9.507886657E1,2.870491385E0,3.478952459E0
1.253730296E2,6.501566338E1,2.551734006E1,1.902523341E1,1.165490879E0,9.827912192E1,2.859645620E0,3.495929405E0
1.263730105E2,6.501565778E1,2.551736515E1,1.917564076E1,1.229706703E0,1.083007066E2,2.845413983E0,3.454935365E0
1.273729936E2,6.501565422E1,2.551738836E1,1.916802815E1,1.146016446E0,1.095024820E2,2.838701655E0,3.394532814E0
1.283729724E2,6.501565060E1,2.551741205E1,1.921472715E1,1.147903984E0,1.105832630E2,2.845979297E0,3.412824673E0
1.293729540E2,6.501565052E1,2.551743469E1,1.942948615E1,1.057868535E0,1.019196563E2,2.848894331E0,3.449382256E0
1.303729352E2,6.501565139E1,2.551745792E1,1.950435579E1,1.075139067E0,9.321783223E1,2.844612493E0,3.403682618E0
1.313729162E2,6.501565679E1,2.551747299E1,1.932284831E1,9.206965794E-1,7.717083053E1,2.825149153E0,3.432627180E0
1.323728968E2,6.501566285E1,2.551749898E1,1.911593775E1,1.160969290E0,6.858124923E1,2.792422665E0,3.337049796E0
1.333728780E2,6.501566793E1,2.551752176E1,1.889304063E1,1.172943274E0,6.417959599E1,2.835577976E0,3.389720626E0
1.343751566E2,6.501567301E1,2.551753974E1,1.876363343E1,1.110073135E0,6.060649500E1,2.836068821E0,3.385022110E0
1.353751698E2,6.501567924E1,2.551756306E1,1.879516425E1,1.237550615E0,5.816895433E1,2.838225337E0,3.371987551E0
1.363751506E2,6.501568453E1,2.551757966E1,1.824936918E1,1.091719866E0,5.681510776E1,2.836634416E0,3.414981034E0
1.373751726E2,6.501569417E1,2.551760178E1,1.848288193E1,1.234004776E0,5.261074112E1,2.827787264E0,3.514222517E0
1.383751949E2,6.501570210E1,2.551762167E1,1.842083331E1,1.255396366E0,5.120562868E1,2.848617823E0,3.542323584E0
1.393751860E2,6.501571020E1,2.551764044E1,1.844709201E1,1.212018904E0,5.070358980E1,2.841699379E0,3.407758183E0
1.403752052E2,6.501571662E1,2.551766243E1,1.877502516E1,1.215002004E0,5.130571786E1,2.868416298E0,3.302042749E0
1.413752260E2,6.501572419E1,2.551768059E1,1.916798424E1,1.166543812E0,4.968379542E1,2.851471156E0,3.366773110E0
1.423752110E2,6.501573102E1,2.551770387E1,1.905582382E1,1.240992166E0,5.240700126E1,2.838309210E0,3.353471614E0
1.433752264E2,6.501573582E1,2.551772043E1,1.869904211E1,1.095621019E0,5.401749966E1,2.839382281E0,3.412637582E0
1.443752425E2,6.501574312E1,2.551773970E1,1.885840558E1,1.149132708E0,5.301603992E1,2.850541088E0,3.501425068E0
1.453752265E2,6.501575296E1,2.551775795E1,1.918806211E1,1.258117424E0,4.790395912E1,2.877356684E0,3.598163793E0
1.463752404E2,6.501576095E1,2.551777372E1,1.950378091E1,1.203894951E0,4.565977817E1,2.919639630E0,3.813106424E0
1.473752537E2,6.501576706E1,2.551779474E1,1.947264825E1,1.220076321E0,5.061423346E1,2.930407301E0,3.904596598E0
1.483752359E2,6.501577661E1,2.551780967E1,1.981738003E1,1.262116244E0,4.312757282E1,2.972653475E0,4.056656921E0
1.493752223E2,6.501578291E1,2.551782414E1,1.991984636E1,1.149819403E0,4.286131897E1,2.966512473E0,3.983298306E0
1.503752087E2,6.501578624E1,2.551783842E1,2.000538293E1,9.422131710E-1,4.948211029E1,3.001410724E0,3.833977152E0
1.513751950E2,6.501579279E1,2.551785379E1,2.013822274E1,9.061159521E-1,4.952653612E1,3.005456506E0,3.734404117E0
1.523751804E2,6.501580442E1,2.551787217E1,2.018091224E1,1.041078983E0,4.213099997E1,2.990302543E0,4.172991787E0
1.533751661E2,6.501581638E1,2.551788684E1,2.019894969E1,1.122651110E0,3.893366488E1,2.975849569E0,4.014915910E0
1.543751509E2,6.501582590E1,2.551790727E1,1.998974644E1,1.121523267E0,4.201683929E1,3.000650214E0,4.195399511E0
1.553751357E2,6.501583724E1,2.551792517E1,1.998197054E1,1.223847616E0,3.866684845E1,2.996690688E0,4.116395401E0
1.563751211E2,6.501584756E1,2.551794079E1,1.982079307E1,1.150485973E0,3.797216579E1,2.961312665E0,3.932611175E0
1.573751055E2,6.501585280E1,2.551795536E1,1.944762011E1,9.041592793E-1,4.457193276E1,2.948726730E0,3.925177963E0
1.583750887E2,6.501585929E1,2.551797692E1,1.910482264E1,9.672970412E-1,5.020823956E1,2.932492089E0,3.768479751E0
1.593750741E2,6.501586414E1,2.551800226E1,1.876800299E1,1.036644608E0,5.753336423E1,2.916615449E0,3.748540700E0
1.603750566E2,6.501587031E1,2.551803295E1,1.931158085E1,1.156938472E0,6.744610030E1,2.935456002E0,3.773127222E0
1.613750412E2,6.501587232E1,2.551806190E1,1.965983082E1,1.122775246E0,8.240211935E1,3.012615664E0,3.835240706E0
1.623750247E2,6.501587839E1,2.551809121E1,1.994693399E1,1.131118265E0,8.510679196E1,3.091371883E0,3.944493795E0
1.633750077E2,6.501588134E1,2.551812126E1,2.004201632E1,1.157261083E0,8.875156774E1,3.130040046E0,4.063530046E0
1.643749908E2,6.501588031E1,2.551814412E1,1.986328477E1,1.022429285E0,9.607016656E1,3.187845103E0,4.077421352E0
1.653749739E2,6.501588101E1,2.551817459E1,1.979008131E1,1.089176061E0,9.894780417E1,3.185000334E0,3.946794526E0
1.663749565E2,6.501587795E1,2.551820223E1,1.982149030E1,1.152273855E0,1.069112413E2,3.132437019E0,3.849023976E0
1.673749398E2,6.501587339E1,2.551823063E1,1.983202896E1,1.245898081E0,1.111856791E2,3.131211640E0,3.894740987E0
1.683749217E2,6.501586922E1,2.551824915E1,1.964835018E1,1.031383443E0,1.156541893E2,3.157085334E0,3.843324198E0
1.693749053E2,6.501586380E1,2.551826910E1,1.973876509E1,1.056422242E0,1.225588261E2,3.146243315E0,3.825597085E0
1.703748872E2,6.501585414E1,2.551828565E1,1.971457890E1,1.127624128E0,1.324144275E2,3.145897185E0,3.717331915E0
1.713748697E2,6.501584230E1,2.551828942E1,1.938119900E1,1.113425154E0,1.499947205E2,3.172281806E0,3.786534328E0
1.723748516E2,6.501583421E1,2.551829065E1,1.969354433E1,8.542582001E-1,1.616279094E2,3.194106179E0,3.855307004E0
1.733748344E2,6.501582421E1,2.551829700E1,1.976401332E1,8.471700405E-1,1.653831657E2,3.187184420E0,3.842540203E0
1.743748165E2,6.501581108E1,2.551830269E1,2.023696210E1,9.922659670E-1,1.701814636E2,3.183337910E0,3.940376722E0
1.753747984E2,6.501579607E1,2.551831293E1,2.024695841E1,1.181300264E0,1.680924844E2,3.216909383E0,3.947226645E0
